name,family,outcome,proposal_call_seconds,check_seconds,certificate_bytes
cycle-44,cycle_classification,obstruction,0.0011022300000149698,4.5379000084722065e-05,73
segment-45,integral_coordinates,homology,0.0006399429998964479,0.00014440800009651866,546
boundary-45,cycle_filling,fill,0.0006463439999606635,2.8682999982265756e-05,56
cycle-45,cycle_classification,fill,0.0006409359998542641,2.9563999987658462e-05,56
segment-46,integral_coordinates,homology,0.0006909510000241426,0.0001243169999725069,491
boundary-46,cycle_filling,fill,0.000725994000049468,3.058599986616173e-05,49
cycle-46,cycle_classification,obstruction,0.0007186929999534186,3.328000002511544e-05,74
segment-47,integral_coordinates,homology,0.0007873560000462021,0.0002084540001305868,594
boundary-47,cycle_filling,fill,0.0009074170000076265,4.073099989909679e-05,56
cycle-47,cycle_classification,fill,0.0008590340000864671,3.765700012081652e-05,56
segment-48,integral_coordinates,homology,0.0015300239999760379,0.0003727120001713047,744
boundary-48,cycle_filling,fill,0.001774632999968162,4.888300009042723e-05,63
cycle-48,cycle_classification,obstruction,0.0018347930001709756,5.2630000027420465e-05,77
segment-49,integral_coordinates,homology,0.0014909050000824209,0.0011514039999838133,721
boundary-49,cycle_filling,fill,0.0021068930000183173,6.175300018185226e-05,57
cycle-49,cycle_classification,obstruction,0.0023443600000518927,6.255500011320692e-05,78
segment-50,integral_coordinates,homology,0.0005329630000687757,0.00014939499988031457,490
boundary-50,cycle_filling,fill,0.0006738049999057694,2.8012000029775663e-05,49
cycle-50,cycle_classification,obstruction,0.0006122419999883277,2.9054000151518267e-05,75
segment-51,integral_coordinates,homology,0.0013957020000816556,0.00032234499985861476,712
boundary-51,cycle_filling,fill,0.001498827999967034,5.1116999884470715e-05,56
cycle-51,cycle_classification,obstruction,0.0014214909999736847,5.4732999842599384e-05,79
segment-52,integral_coordinates,homology,0.0016577170001710329,0.0003648089998478099,757
boundary-52,cycle_filling,fill,0.001991149000104997,8.459700006824278e-05,57
cycle-52,cycle_classification,obstruction,0.0016768759999195026,6.0712000049534254e-05,78
segment-53,integral_coordinates,homology,0.0012803179999991698,0.00024173399992832856,617
boundary-53,cycle_filling,fill,0.0011601569999584171,3.828800004157529e-05,49
cycle-53,cycle_classification,obstruction,0.0010724260000642971,3.829699994639668e-05,79
segment-54,integral_coordinates,homology,0.0012184349998278776,0.0003025460000571911,668
boundary-54,cycle_filling,fill,0.0013084100000924082,4.349599998931808e-05,56
cycle-54,cycle_classification,obstruction,0.0012719649998871319,4.3656000116243376e-05,77
segment-55,integral_coordinates,homology,0.00036661199987975124,9.220900005857402e-05,456
boundary-55,cycle_filling,fill,0.00040648200001669466,2.302500001860608e-05,54
cycle-55,cycle_classification,fill,0.00038574100017285673,2.0720999827972264e-05,54
segment-56,integral_coordinates,homology,0.0012418800001796626,0.00028311599999142345,637
boundary-56,cycle_filling,fill,0.0013789669999368925,4.61390000054962e-05,55
